index,id,userID,name,task_type,tools_required,rating,career_stage,urgency,importance,keywords
0,3,145,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.7,emerging,4,5,"release, marketing, promotion"
1,3,146,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.2,emerging,4,5,"release, marketing, promotion"
2,3,147,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",7.9,beginner,4,5,"release, marketing, promotion"
3,3,148,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.8,beginner,4,5,"release, marketing, promotion"
4,3,149,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",9.1,emerging,4,5,"release, marketing, promotion"
5,3,150,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.5,established,4,5,"release, marketing, promotion"
6,7,151,Create YouTube shorts,Social Media Content Creation,YouTube,7.8,beginner,2,3,"content, visual, promotion"
7,7,152,Create YouTube shorts,Social Media Content Creation,YouTube,8.1,beginner,2,3,"content, visual, promotion"
8,7,153,Create YouTube shorts,Social Media Content Creation,YouTube,8.3,emerging,2,3,"content, visual, promotion"
9,7,154,Create YouTube shorts,Social Media Content Creation,YouTube,7.9,emerging,2,3,"content, visual, promotion"
10,13,155,Create behind-the-scenes content,Social Media Content Creation,"TikTok, Instagram",8.2,emerging,3,4,"content, engagement, authentic"
11,13,156,Create behind-the-scenes content,Social Media Content Creation,"TikTok, Instagram",8.4,emerging,3,4,"content, engagement, authentic"
12,13,157,Create behind-the-scenes content,Social Media Content Creation,"TikTok, Instagram",8.6,established,3,4,"content, engagement, authentic"
13,19,158,Set up Discord community,Community Management,Discord,9.1,established,5,4,"community, engagement, growth"
14,19,159,Set up Discord community,Community Management,Discord,8.7,established,5,4,"community, engagement, growth"
15,19,160,Set up Discord community,Community Management,Discord,8.9,established,5,4,"community, engagement, growth"
16,19,161,Set up Discord community,Community Management,Discord,9.2,emerging,5,4,"community, engagement, growth"
17,19,162,Set up Discord community,Community Management,Discord,8.8,emerging,5,4,"community, engagement, growth"
18,23,163,Schedule social media posts,Cross-Platform Promotion,"Instagram, TikTok, Facebook",8.4,beginner,3,3,"scheduling, content, planning"
19,23,164,Schedule social media posts,Cross-Platform Promotion,"Instagram, TikTok, Facebook",8.1,beginner,3,3,"scheduling, content, planning"
20,23,165,Schedule social media posts,Cross-Platform Promotion,"Instagram, TikTok, Facebook",7.9,beginner,3,3,"scheduling, content, planning"
21,29,166,Create TikTok content calendar,Social Media Content Creation,TikTok,7.9,emerging,4,4,"content, promotion, viral"
22,29,167,Create TikTok content calendar,Social Media Content Creation,TikTok,8.2,emerging,4,4,"content, promotion, viral"
23,29,168,Create TikTok content calendar,Social Media Content Creation,TikTok,8.5,emerging,4,4,"content, promotion, viral"
24,29,169,Create TikTok content calendar,Social Media Content Creation,TikTok,8.3,beginner,4,4,"content, promotion, viral"
25,35,170,Design Instagram story series,Social Media Content Creation,Instagram,8.8,beginner,2,3,"content, visual, engagement"
26,35,171,Design Instagram story series,Social Media Content Creation,Instagram,8.5,beginner,2,3,"content, visual, engagement"
27,41,172,Set up email newsletter,Email Marketing,MailChimp,7.5,established,3,5,"marketing, outreach, engagement"
28,41,173,Set up email newsletter,Email Marketing,MailChimp,7.8,established,3,5,"marketing, outreach, engagement"
29,41,174,Set up email newsletter,Email Marketing,MailChimp,8.1,emerging,3,5,"marketing, outreach, engagement"
30,48,175,Analyze Spotify statistics,Analytics Review,Spotify,8.3,established,2,4,"analytics, growth, data"
31,48,176,Analyze Spotify statistics,Analytics Review,Spotify,8.6,established,2,4,"analytics, growth, data"
32,48,177,Analyze Spotify statistics,Analytics Review,Spotify,8.4,emerging,2,4,"analytics, growth, data"
33,48,178,Analyze Spotify statistics,Analytics Review,Spotify,8.7,emerging,2,4,"analytics, growth, data"
34,52,179,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",9.2,emerging,5,5,"engagement, community, growth"
35,52,180,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.9,emerging,5,5,"engagement, community, growth"
36,52,181,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",9.0,established,5,5,"engagement, community, growth"
37,59,182,Plan live streaming schedule,Live Stream Planning,"Twitch, YouTube",8.6,established,4,4,"planning, live, engagement"
38,59,183,Plan live streaming schedule,Live Stream Planning,"Twitch, YouTube",8.4,established,4,4,"planning, live, engagement"
39,67,184,Cross-post content,Cross-Platform Promotion,"Instagram, Facebook, Twitter",7.6,beginner,3,3,"promotion, content, scheduling"
40,67,185,Cross-post content,Cross-Platform Promotion,"Instagram, Facebook, Twitter",7.9,beginner,3,3,"promotion, content, scheduling"
41,67,186,Cross-post content,Cross-Platform Promotion,"Instagram, Facebook, Twitter",8.1,emerging,3,3,"promotion, content, scheduling"
42,73,187,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.9,emerging,4,5,"playlists, promotion, growth"
43,73,188,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.7,emerging,4,5,"playlists, promotion, growth"
44,73,189,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",9.1,established,4,5,"playlists, promotion, growth"
45,73,190,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.8,established,4,5,"playlists, promotion, growth"
46,73,191,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",9.0,established,4,5,"playlists, promotion, growth"
47,77,192,Design merch promotional campaign,Merchandise Promotion,"Instagram, Facebook",8.1,established,3,4,"merchandise, promotion, sales"
48,77,193,Design merch promotional campaign,Merchandise Promotion,"Instagram, Facebook",8.4,established,3,4,"merchandise, promotion, sales"
49,77,194,Design merch promotional campaign,Merchandise Promotion,"Instagram, Facebook",8.2,emerging,3,4,"merchandise, promotion, sales"
50,82,195,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.3,emerging,5,5,"release, promotion, marketing"
51,82,196,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.1,emerging,5,5,"release, promotion, marketing"
52,82,197,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.4,established,5,5,"release, promotion, marketing"
53,82,198,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.2,established,5,5,"release, promotion, marketing"
54,82,199,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",8.9,beginner,5,5,"release, promotion, marketing"
55,85,200,Schedule fan Q&A sessions,Fan Engagement,"Discord, Twitter",7.7,beginner,2,3,"engagement, community, live"
56,85,201,Schedule fan Q&A sessions,Fan Engagement,"Discord, Twitter",8.0,beginner,2,3,"engagement, community, live"
57,85,202,Schedule fan Q&A sessions,Fan Engagement,"Discord, Twitter",7.9,emerging,2,3,"engagement, community, live"
58,88,203,Create Spotify canvas videos,Social Media Content Creation,Spotify,8.5,emerging,3,4,"content, visual, promotion"
59,88,204,Create Spotify canvas videos,Social Media Content Creation,Spotify,8.3,emerging,3,4,"content, visual, promotion"
60,88,205,Create Spotify canvas videos,Social Media Content Creation,Spotify,8.7,established,3,4,"content, visual, promotion"
61,88,206,Create Spotify canvas videos,Social Media Content Creation,Spotify,8.4,established,3,4,"content, visual, promotion"
62,91,207,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.4,established,4,4,"content, strategy, engagement"
63,91,208,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.6,established,4,4,"content, strategy, engagement"
64,91,209,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.2,emerging,4,4,"content, strategy, engagement"
65,91,210,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.5,emerging,4,4,"content, strategy, engagement"
66,91,211,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.3,beginner,4,4,"content, strategy, engagement"
67,95,212,Plan Twitter Space session,Live Stream Planning,Twitter,7.4,beginner,2,3,"live, community, engagement"
68,95,213,Plan Twitter Space session,Live Stream Planning,Twitter,7.7,beginner,2,3,"live, community, engagement"
69,95,214,Plan Twitter Space session,Live Stream Planning,Twitter,7.9,emerging,2,3,"live, community, engagement"
70,98,215,Create LinkedIn artist page,Cross-Platform Promotion,LinkedIn,8.0,emerging,3,3,"professional, networking, growth"
71,98,216,Create LinkedIn artist page,Cross-Platform Promotion,LinkedIn,8.2,emerging,3,3,"professional, networking, growth"
72,98,217,Create LinkedIn artist page,Cross-Platform Promotion,LinkedIn,7.8,established,3,3,"professional, networking, growth"
73,3,218,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.6,emerging,4,5,"release, marketing, promotion"
74,19,219,Set up Discord community,Community Management,Discord,8.8,established,5,4,"community, engagement, growth"
75,29,220,Create TikTok content calendar,Social Media Content Creation,TikTok,8.4,emerging,4,4,"content, promotion, viral"
76,48,221,Analyze Spotify statistics,Analytics Review,Spotify,8.5,established,2,4,"analytics, growth, data"
77,52,222,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.8,emerging,5,5,"engagement, community, growth"
78,73,223,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.9,established,4,5,"playlists, promotion, growth"
79,82,224,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.0,emerging,5,5,"release, promotion, marketing"
80,91,225,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.7,established,4,4,"content, strategy, engagement"
81,3,226,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.4,beginner,4,5,"release, marketing, promotion"
82,19,227,Set up Discord community,Community Management,Discord,9.0,established,5,4,"community, engagement, growth"
83,29,228,Create TikTok content calendar,Social Media Content Creation,TikTok,8.1,emerging,4,4,"content, promotion, viral"
84,52,229,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.7,emerging,5,5,"engagement, community, growth"
85,73,230,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.8,established,4,5,"playlists, promotion, growth"
86,82,231,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.2,emerging,5,5,"release, promotion, marketing"
87,91,232,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.5,established,4,4,"content, strategy, engagement"
88,3,233,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.3,beginner,4,5,"release, marketing, promotion"
89,19,234,Set up Discord community,Community Management,Discord,8.9,established,5,4,"community, engagement, growth"
90,29,235,Create TikTok content calendar,Social Media Content Creation,TikTok,8.2,emerging,4,4,"content, promotion, viral"
91,52,236,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.6,emerging,5,5,"engagement, community, growth"
92,73,237,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.7,established,4,5,"playlists, promotion, growth"
93,82,238,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.1,emerging,5,5,"release, promotion, marketing"
94,91,239,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.4,established,4,4,"content, strategy, engagement"
95,3,240,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.5,beginner,4,5,"release, marketing, promotion"
96,19,241,Set up Discord community,Community Management,Discord,8.8,established,5,4,"community, engagement, growth"
97,29,242,Create TikTok content calendar,Social Media Content Creation,TikTok,8.3,emerging,4,4,"content, promotion, viral"
98,52,243,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.5,emerging,5,5,"engagement, community, growth"
99,82,244,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.3,established,5,5,"release, promotion, marketing"